Unnamed: 0,Symbol,Name,Sector,Industry
368,PEP,PepsiCo,Consumer Defensive,Beverages - Non-Alcoholic
369,PFE,Pfizer,Healthcare,Drug Manufacturers - General
370,PCG,PG&E Corporation,Utilities,Utilities - Regulated Electric
371,PM,Philip Morris International,Consumer Defensive,Tobacco
372,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
373,PNW,Pinnacle West,Utilities,Utilities - Regulated Electric
374,PNC,PNC Financial Services,Financial Services,Banks - Regional
375,POOL,Pool Corporation,Industrials,Industrial Distribution
376,PPG,PPG Industries,Basic Materials,Specialty Chemicals
377,PPL,PPL Corporation,Utilities,Utilities - Regulated Electric
378,PFG,Principal Financial Group,Financial Services,Asset Management
379,PG,Procter & Gamble,Consumer Defensive,Household & Personal Products
380,PGR,Progressive Corporation,Financial Services,Insurance - Property & Casualty
381,PLD,Prologis,Real Estate,REIT - Industrial
382,PRU,Prudential Financial,Financial Services,Insurance - Life
383,PEG,Public Service Enterprise Group,Utilities,Utilities - Regulated Electric
384,PTC,PTC Inc.,Technology,Software - Application
385,PSA,Public Storage,Real Estate,REIT - Industrial
386,PHM,PulteGroup,Consumer Cyclical,Residential Construction
387,QRVO,Qorvo,Technology,Semiconductors
388,PWR,Quanta Services,Industrials,Engineering & Construction
389,QCOM,Qualcomm,Technology,Semiconductors
390,DGX,Quest Diagnostics,Healthcare,Diagnostics & Research
391,RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing
392,RJF,Raymond James Financial,Financial Services,Asset Management
393,RTX,RTX Corporation,Industrials,Aerospace & Defense
394,O,Realty Income,Real Estate,REIT - Retail
395,REG,Regency Centers,Real Estate,REIT - Retail
396,REGN,Regeneron Pharmaceuticals,Healthcare,Biotechnology
397,RF,Regions Financial Corporation,Financial Services,Banks - Regional
398,RSG,Republic Services,Industrials,Waste Management
399,RMD,ResMed,Healthcare,Medical Instruments & Supplies
400,RVTY,Revvity,Healthcare,Diagnostics & Research
401,ROK,Rockwell Automation,Industrials,Specialty Industrial Machinery
402,ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services
403,ROP,Roper Technologies,Technology,Software - Application
404,ROST,Ross Stores,Consumer Cyclical,Apparel Retail
405,RCL,Royal Caribbean Group,Consumer Cyclical,Travel Services
406,SPGI,S&P Global,Financial Services,Financial Data & Stock Exchanges
407,CRM,Salesforce,Technology,Software - Application
408,SBAC,SBA Communications,Real Estate,REIT - Specialty
409,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services
410,STX,Seagate Technology,Technology,Computer Hardware
411,SRE,Sempra,Utilities,Utilities - Diversified
412,NOW,ServiceNow,Technology,Software - Application
413,SHW,Sherwin-Williams,Basic Materials,Specialty Chemicals
414,SPG,Simon Property Group,Real Estate,REIT - Retail
415,SWKS,Skyworks Solutions,Technology,Semiconductors
416,SJM,J.M. Smucker Company (The),Consumer Defensive,Packaged Foods
417,SW,Smurfit WestRock,Consumer Cyclical,Packaging & Containers
418,SNA,Snap-on,Industrials,Tools & Accessories
419,SOLV,Solventum,Healthcare,Health Information Services
420,SO,Southern Company,Utilities,Utilities - Regulated Electric
421,LUV,Southwest Airlines,Industrials,Airlines
422,SWK,Stanley Black & Decker,Industrials,Tools & Accessories
423,SBUX,Starbucks,Consumer Cyclical,Restaurants
424,STT,State Street Corporation,Financial Services,Asset Management
425,STLD,Steel Dynamics,Basic Materials,Steel
426,STE,Steris,Healthcare,Medical Devices
427,SYK,Stryker Corporation,Healthcare,Medical Devices
428,SMCI,Supermicro,Technology,Computer Hardware
429,SYF,Synchrony Financial,Financial Services,Credit Services
430,SNPS,Synopsys,Technology,Software - Infrastructure
431,SYY,Sysco,Consumer Defensive,Food Distribution
432,TMUS,T-Mobile US,Communication Services,Telecom Services
433,TROW,T. Rowe Price,Financial Services,Asset Management
434,TTWO,Take-Two Interactive,Communication Services,Electronic Gaming & Multimedia
435,TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods
436,TRGP,Targa Resources,Energy,Oil & Gas Midstream
437,TGT,Target Corporation,Consumer Defensive,Discount Stores
438,TEL,TE Connectivity,Technology,Electronic Components
439,TDY,Teledyne Technologies,Technology,Scientific & Technical Instruments
440,TFX,Teleflex,Healthcare,Medical Instruments & Supplies
441,TER,Teradyne,Technology,Semiconductor Equipment & Materials
442,TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers
443,TXN,Texas Instruments,Technology,Semiconductors
444,TXT,Textron,Industrials,Aerospace & Defense
445,TMO,Thermo Fisher Scientific,Healthcare,Diagnostics & Research
446,TJX,TJX Companies,Consumer Cyclical,Apparel Retail
447,TSCO,Tractor Supply,Consumer Cyclical,Specialty Retail
448,TT,Trane Technologies,Industrials,Building Products & Equipment
449,TDG,TransDigm Group,Industrials,Aerospace & Defense
450,TRV,Travelers Companies (The),Financial Services,Insurance - Property & Casualty
451,TRMB,Trimble Inc.,Technology,Scientific & Technical Instruments
452,TFC,Truist Financial,Financial Services,Banks - Regional
453,TYL,Tyler Technologies,Technology,Software - Application
454,TSN,Tyson Foods,Consumer Defensive,Farm Products
455,USB,U.S. Bancorp,Financial Services,Banks - Regional
456,UBER,Uber,Technology,Software - Application
457,UDR,"UDR, Inc.",Real Estate,REIT - Residential
458,ULTA,Ulta Beauty,Consumer Cyclical,Specialty Retail
459,UNP,Union Pacific Corporation,Industrials,Railroads
460,UAL,United Airlines Holdings,Industrials,Airlines
461,UPS,United Parcel Service,Industrials,Integrated Freight & Logistics
462,URI,United Rentals,Industrials,Rental & Leasing Services
463,UNH,UnitedHealth Group,Healthcare,Healthcare Plans
464,UHS,Universal Health Services,Healthcare,Medical Care Facilities
465,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing
466,VTR,Ventas,Real Estate,REIT - Healthcare Facilities
467,VLTO,Veralto,Industrials,Pollution & Treatment Controls
468,VRSN,Verisign,Technology,Software - Infrastructure
469,VRSK,Verisk Analytics,Industrials,Consulting Services
470,VZ,Verizon,Communication Services,Telecom Services
471,VRTX,Vertex Pharmaceuticals,Healthcare,Biotechnology
472,VTRS,Viatris,Healthcare,Drug Manufacturers - Specialty & Generic
